gt .\result\./LMV/gt_0.png, infer .\result\./LMV/pred_0.png, ssim 0.4476, psnr 14.4106
gt .\result\./LMV/gt_1.png, infer .\result\./LMV/pred_1.png, ssim 0.4249, psnr 14.3986
gt .\result\./LMV/gt_2.png, infer .\result\./LMV/pred_2.png, ssim 0.4253, psnr 14.5637
gt .\result\./LMV/gt_3.png, infer .\result\./LMV/pred_3.png, ssim 0.4314, psnr 14.7244
gt .\result\./LMV/gt_4.png, infer .\result\./LMV/pred_4.png, ssim 0.4342, psnr 14.8001
gt .\result\./LMV/gt_5.png, infer .\result\./LMV/pred_5.png, ssim 0.4225, psnr 14.3338
gt .\result\./LMV/gt_6.png, infer .\result\./LMV/pred_6.png, ssim 0.4203, psnr 14.5557
gt .\result\./LMV/gt_7.png, infer .\result\./LMV/pred_7.png, ssim 0.3650, psnr 13.7043
gt .\result\./LMV/gt_8.png, infer .\result\./LMV/pred_8.png, ssim 0.3637, psnr 13.8005
gt .\result\./LMV/gt_9.png, infer .\result\./LMV/pred_9.png, ssim 0.3557, psnr 13.6548
gt .\result\./LMV/gt_10.png, infer .\result\./LMV/pred_10.png, ssim 0.3563, psnr 13.5525
gt .\result\./LMV/gt_11.png, infer .\result\./LMV/pred_11.png, ssim 0.3806, psnr 14.0125
gt .\result\./LMV/gt_12.png, infer .\result\./LMV/pred_12.png, ssim 0.3824, psnr 14.1127
gt .\result\./LMV/gt_13.png, infer .\result\./LMV/pred_13.png, ssim 0.3830, psnr 14.2429
gt .\result\./LMV/gt_14.png, infer .\result\./LMV/pred_14.png, ssim 0.3876, psnr 14.3089
gt .\result\./LMV/gt_15.png, infer .\result\./LMV/pred_15.png, ssim 0.3744, psnr 13.9995
gt .\result\./LMV/gt_16.png, infer .\result\./LMV/pred_16.png, ssim 0.3687, psnr 13.9786
gt .\result\./LMV/gt_17.png, infer .\result\./LMV/pred_17.png, ssim 0.3698, psnr 13.9963
gt .\result\./LMV/gt_18.png, infer .\result\./LMV/pred_18.png, ssim 0.3712, psnr 14.1080
gt .\result\./LMV/gt_19.png, infer .\result\./LMV/pred_19.png, ssim 0.4105, psnr 14.8245
gt .\result\./LMV/gt_20.png, infer .\result\./LMV/pred_20.png, ssim 0.4163, psnr 14.9663
gt .\result\./LMV/gt_21.png, infer .\result\./LMV/pred_21.png, ssim 0.4002, psnr 14.6566
gt .\result\./LMV/gt_22.png, infer .\result\./LMV/pred_22.png, ssim 0.3999, psnr 14.6972
gt .\result\./LMV/gt_23.png, infer .\result\./LMV/pred_23.png, ssim 0.3800, psnr 14.3458
gt .\result\./LMV/gt_24.png, infer .\result\./LMV/pred_24.png, ssim 0.3799, psnr 14.3996
gt .\result\./LMV/gt_25.png, infer .\result\./LMV/pred_25.png, ssim 0.3883, psnr 14.4803
gt .\result\./LMV/gt_26.png, infer .\result\./LMV/pred_26.png, ssim 0.3842, psnr 14.4791
gt .\result\./LMV/gt_27.png, infer .\result\./LMV/pred_27.png, ssim 0.3863, psnr 14.5187
gt .\result\./LMV/gt_28.png, infer .\result\./LMV/pred_28.png, ssim 0.3874, psnr 14.5778
gt .\result\./LMV/gt_29.png, infer .\result\./LMV/pred_29.png, ssim 0.3991, psnr 14.7805
gt .\result\./LMV/gt_30.png, infer .\result\./LMV/pred_30.png, ssim 0.4065, psnr 14.9106
gt .\result\./LMV/gt_31.png, infer .\result\./LMV/pred_31.png, ssim 0.4051, psnr 14.9483
gt .\result\./LMV/gt_32.png, infer .\result\./LMV/pred_32.png, ssim 0.4098, psnr 14.9574
gt .\result\./LMV/gt_33.png, infer .\result\./LMV/pred_33.png, ssim 0.3935, psnr 14.6042
gt .\result\./LMV/gt_34.png, infer .\result\./LMV/pred_34.png, ssim 0.3914, psnr 14.5597
gt .\result\./LMV/gt_35.png, infer .\result\./LMV/pred_35.png, ssim 0.3755, psnr 14.4501
gt .\result\./LMV/gt_36.png, infer .\result\./LMV/pred_36.png, ssim 0.3735, psnr 14.3869
gt .\result\./LMV/gt_37.png, infer .\result\./LMV/pred_37.png, ssim 0.3808, psnr 14.4059
gt .\result\./LMV/gt_38.png, infer .\result\./LMV/pred_38.png, ssim 0.3820, psnr 14.3716
gt .\result\./LMV/gt_39.png, infer .\result\./LMV/pred_39.png, ssim 0.3936, psnr 14.4213
gt .\result\./LMV/gt_40.png, infer .\result\./LMV/pred_40.png, ssim 0.4035, psnr 14.6884
gt .\result\./LMV/gt_41.png, infer .\result\./LMV/pred_41.png, ssim 0.4186, psnr 14.9986
gt .\result\./LMV/gt_42.png, infer .\result\./LMV/pred_42.png, ssim 0.4227, psnr 15.2033
gt .\result\./LMV/gt_43.png, infer .\result\./LMV/pred_43.png, ssim 0.4297, psnr 15.3465
gt .\result\./LMV/gt_44.png, infer .\result\./LMV/pred_44.png, ssim 0.4299, psnr 15.3337
gt .\result\./LMV/gt_45.png, infer .\result\./LMV/pred_45.png, ssim 0.4265, psnr 15.2456
gt .\result\./LMV/gt_46.png, infer .\result\./LMV/pred_46.png, ssim 0.4239, psnr 15.3355
gt .\result\./LMV/gt_47.png, infer .\result\./LMV/pred_47.png, ssim 0.4081, psnr 15.0810
gt .\result\./LMV/gt_48.png, infer .\result\./LMV/pred_48.png, ssim 0.4085, psnr 15.0838
gt .\result\./LMV/gt_49.png, infer .\result\./LMV/pred_49.png, ssim 0.6467, psnr 16.3911
ssim 0.4025, psnr 14.5742 over 50 frames
